Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,Thickness_Left_Pixel,Thickness,Corrosion_Depth_Ratio
0,0,161,539,539,0.000
1,0,157,539,539,0.000
2,0,26,539,539,0.000
3,0,27,539,539,0.000
4,0,27,539,539,0.000
5,0,27,539,539,0.000
6,0,28,538,538,0.000
7,0,27,538,538,0.000
8,0,26,538,538,0.000
9,0,26,538,538,0.000
10,0,26,538,538,0.000
11,0,25,539,539,0.000
12,0,25,539,539,0.000
13,0,26,538,538,0.000
14,0,26,538,538,0.000
15,0,26,538,538,0.000
16,0,26,538,538,0.000
17,0,25,539,539,0.000
18,0,154,538,538,0.000
19,0,155,538,538,0.000
20,0,26,538,538,0.000
21,0,26,538,538,0.000
22,0,26,538,538,0.000
23,0,26,538,538,0.000
24,0,26,539,539,0.000
25,6,26,539,539,0.769
26,5,26,540,540,0.808
27,0,27,540,540,0.000
28,0,27,541,541,0.000
29,0,26,542,542,0.000
30,5,26,542,542,0.808
31,0,127,542,542,0.000
32,0,26,542,542,0.000
33,0,27,541,541,0.000
34,0,26,541,541,0.000
35,0,25,541,541,0.000
36,0,26,540,540,0.000
37,22,27,539,539,0.185
38,0,26,539,539,0.000
39,0,26,538,538,0.000
40,0,30,533,533,0.000
41,0,29,533,533,0.000
42,0,26,533,533,0.000
43,0,27,533,533,0.000
44,0,26,534,534,0.000
45,0,26,533,533,0.000
46,0,26,533,533,0.000
47,0,26,532,532,0.000
48,0,27,531,531,0.000
49,0,26,531,531,0.000
50,0,26,531,531,0.000
51,0,26,531,531,0.000
52,0,26,531,531,0.000
53,0,26,531,531,0.000
54,0,26,531,531,0.000
55,0,26,531,531,0.000
56,0,26,531,531,0.000
57,0,26,531,531,0.000
58,0,26,532,532,0.000
59,0,26,532,532,0.000
60,0,26,531,531,0.000
61,0,26,531,531,0.000
62,0,25,531,531,0.000
63,0,26,531,531,0.000
64,0,26,531,531,0.000
65,0,26,531,531,0.000
66,0,26,530,530,0.000
67,0,27,530,530,0.000
68,0,27,530,530,0.000
69,0,26,531,531,0.000
70,0,26,530,530,0.000
71,0,26,530,530,0.000
72,0,26,529,529,0.000
73,0,26,529,529,0.000
74,0,26,529,529,0.000
75,0,26,529,529,0.000
76,0,27,528,528,0.000
77,0,27,527,527,0.000
78,0,25,527,527,0.000
79,0,25,527,527,0.000
80,0,25,527,527,0.000
81,0,25,527,527,0.000
82,0,25,527,527,0.000
83,0,26,527,527,0.000
84,0,26,527,527,0.000
85,0,26,527,527,0.000
86,0,26,527,527,0.000
87,0,26,526,526,0.000
88,0,26,526,526,0.000
89,0,26,526,526,0.000
90,0,26,526,526,0.000
91,0,26,526,526,0.000
92,0,26,526,526,0.000
93,0,26,526,526,0.000
94,0,26,526,526,0.000
95,0,25,527,527,0.000
96,0,25,527,527,0.000
97,0,26,526,526,0.000
98,0,26,526,526,0.000
99,0,27,525,525,0.000
100,0,26,525,525,0.000
101,0,26,525,525,0.000
102,0,26,525,525,0.000
103,0,26,526,526,0.000
104,0,26,527,527,0.000
105,0,26,527,527,0.000
106,0,27,526,526,0.000
107,0,27,525,525,0.000
108,0,25,525,525,0.000
109,0,25,525,525,0.000
110,0,25,525,525,0.000
111,0,30,525,525,0.000
112,0,28,527,527,0.000
113,0,26,527,527,0.000
114,0,25,527,527,0.000
115,0,29,527,527,0.000
116,0,29,527,527,0.000
117,0,27,527,527,0.000
118,0,27,528,528,0.000
119,0,27,529,529,0.000
120,0,26,530,530,0.000
121,0,26,530,530,0.000
122,0,26,530,530,0.000
123,0,26,529,529,0.000
124,0,26,529,529,0.000
125,0,26,529,529,0.000
126,0,25,530,530,0.000
127,0,25,530,530,0.000
128,0,25,530,530,0.000
129,0,26,529,529,0.000
130,0,26,528,528,0.000
131,0,26,528,528,0.000
132,0,27,528,528,0.000
133,0,26,529,529,0.000
134,0,26,529,529,0.000
135,0,26,529,529,0.000
136,0,26,529,529,0.000
137,0,25,530,530,0.000
138,0,25,530,530,0.000
139,0,25,530,530,0.000
140,0,25,530,530,0.000
141,0,25,530,530,0.000
142,0,25,530,530,0.000
143,0,25,530,530,0.000
144,0,26,530,530,0.000
145,0,26,530,530,0.000
146,0,26,531,531,0.000
147,0,26,531,531,0.000
148,0,29,528,528,0.000
149,0,28,528,528,0.000
150,0,25,528,528,0.000
151,0,27,528,528,0.000
152,0,26,529,529,0.000
